tstidn,expidn,unique,expsit,agepar,gender,region,poccup,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crtre1,crtre2,crtre3,crtre4,crtre5,crtre6,crtre7,crtco1,crtco2,crtco3,crtco4,crtco5,crtco6,crtco7,critie1,critie2,critie3,critie4,critie5,critie6,critie7,crtin1,crtin2,crtin3,crtin4,crtin5,crtin6,crtin7,critnr1,critnr2,critnr3,critnr4,critnr5,critnr6,critnr7,crtrr1,crtrr2,crtrr3,crtrr4,crtrr5,crtrr6,crtrr7,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,religr,politr,pedlev,fedlev,tstamp,accept,expidt,crtfr1,crtfr2,crtfr3,crtfr4,crtfr5,crtfr6,crtfr7,religo,polito,disto1,disto2,disto3,distn1,distn2,distn3,distc1,distc2,distc3,distd1,distd2,distd3,distr1,distr2,distr3,distl1,distl2,distl3
589,592,1 UN,6 SA,24,1 FE,13,1 ST,1,1,1,1,2,1,1,1,2,1,2,4,2,4,3,3,3,3,1,5,4,1,1,1,1,3,1,0,0,0,0,1,4 correcta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,1,1,-1,1,1,1,3,5,1,3,3,1,1,3,1,5,5,3,5,5 AG,1 LW,4 EU,2 EM,12/12/2023 13:17:39,Si,00592,el dulce vale 5 ,100 minutos,12 horas ,segundo ,8,emilio,18,agnostica,izquierda,no sé,casi 1000 pesos chilenos,no sé,NR,1.000,NR,8.367.790,"880,00",155,NR,120,NR,NR,570,NR,NR,3,NR
590,593,1 UN,6 SA,21,1 FE,13,1 ST,3,2,1,3,2,1,1,2,4,4,3,3,1,3,3,3,2,5,4,5,5,2,1,3,3,3,1,0,0,0,0,0,4 correcta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,0,2,1,3,3,4,2,4,3,3,2,4,4,4,3,1,5,5 AG,1 LW,4 EU,3 ET,12/12/2023 13:23:03,Si,00593,5,20 minutos,47 horas,segundo ,8,emilio,27,agnostica,Izquierda con tendencia al comunismo,7.000.000,890 pesos,70,7.000.000,890,70,8.367.790,"880,00",155,1.367.790,10,85,420,74,176,9,2,2
591,594,1 UN,6 SA,19,1 FE,13,1 ST,3,2,2,4,3,2,4,4,4,4,4,4,4,4,4,1,1,3,2,4,3,1,1,1,1,1,1,0,0,0,0,0,4 correcta no intuitiva,4 correcta no intuitiva,2 incorrecta no responde,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,-1,2,1,3,1,3,1,3,1,1,1,2,2,5,5,1,5,6 AT,1 LW,4 EU,2 EM,12/12/2023 13:25:02,Si,00594,5 pesos,5 minutos ,,segundo ,8,emilio,9,Atea,Izquierda,7millones ,850,45,7.000.000,850,45,8.367.790,"880,00",155,1.367.790,30,110,420,260,293,9,2,3
592,595,1 UN,6 SA,20,1 FE,13,1 ST,1,1,1,1,2,1,1,2,3,3,2,4,3,3,4,3,4,5,3,5,5,2,2,2,2,3,1,0,0,0,1,0,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,3,2,3,3,1,1,4,2,5,4,3,5,1 CA,1 LW,4 EU,4 EU,12/12/2023 13:28:52,Si,00595,5 pesos,100 minutos,24 horas,segundo lugar,8 ovejas,Emilio,27 metros cúbicos,"Soy católica, sin embargo no soy muy partícipe ni sigo todos los ritos.","Me reconozco como una persona de izquierda, me representa en gran medida con el partido socialista.",3 millones aprox,800 aprox.,120,3.000.000,800,120,8.367.790,"880,00",155,5.367.790,80,35,534,464,78,9,2,2
593,596,1 UN,6 SA,21,2 MA,13,1 ST,2,1,1,2,2,1,2,1,2,1,3,4,4,3,3,2,3,4,4,4,3,2,1,1,2,3,2,0,0,0,0,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,3,4,5,1,3,4,1,2,4,1,5,5,4,5,1 CA,5 NO,2 EM,4 EU,13/12/2023 10:34:39,Si,00596,10,100,24,2do,7,Julio,27,"Semi Católico, creo en dios, pero aun no decido si creer en Jesús, María y José","Acepto ideas y otras las rechazo, no me identifico con ningún lado",2.000.000,987,37,2.000.000,987,37,8.367.790,"880,62",155,6.367.790,106,118,549,543,336,9,3,3
594,597,1 UN,6 SA,34,1 FE,13,1 ST,2,2,2,2,2,1,1,2,4,2,3,4,3,3,3,3,2,3,2,2,2,1,1,2,1,2,1,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,2,2,1,3,1,1,2,3,3,5,5,4,5,6 AT,1 LW,4 EU,4 EU,13/12/2023 10:48:13,Si,00597,10,100 minutos,24,Segundo,8,Emilio,27,Atea,Izquierda,8.000.000,850,No sé,8.000.000,850,NR,8.367.790,"880,62",155,367.790,31,NR,316,272,NR,7,2,NR
595,598,1 UN,6 SA,18,1 FE,3,1 ST,4,2,3,4,4,3,2,3,4,2,1,3,2,2,4,4,3,4,4,3,4,3,4,3,3,3,3,0,0,0,1,0,1 incorrecta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,1,-1,0,-1,3,4,3,3,5,3,4,3,4,3,5,3,3,3,3,5,3 OT,2 CE,4 EU,4 EU,13/12/2023 10:54:49,Si,00598,55 pesos,100 minutos,64 horas,segundo lugar,15 ovejas,julio,9 metros cubicos,"Creo en algo divino algo así como el universo y la espiritualidad, pero no necesariamente la figura de dios",centro,8 millones,900,9,8.000.000,900,9,8.367.790,"880,62",155,367.790,19,146,316,149,555,7,2,3
596,599,1 UN,6 SA,21,1 FE,13,1 ST,4,2,2,4,4,4,2,4,4,4,4,4,4,4,4,5,4,5,5,4,5,1,1,2,2,2,2,0,0,0,1,0,4 correcta no intuitiva,1 incorrecta no intuitiva,1 incorrecta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,1,1,-1,3,1,2,1,5,2,5,5,1,5,5,5,5,4,5,5,5 AG,1 LW,4 EU,4 EU,13/12/2023 11:53:34,Si,00599,5,20,aprox 7 horas ,Segundo,8,Emilio,81,Agnostico ,Izquierda. sin partido político claro,"Millones, no sé con exactitud",al rededor de 950 pesos,como 40 creo,NR,950,40,8.367.790,"880,62",155,NR,69,115,NR,407,308,NR,2,3
597,600,1 UN,6 SA,23,2 MA,13,1 ST,2,2,2,2,3,2,2,3,3,3,4,3,4,4,3,3,2,3,3,4,3,3,1,2,2,2,2,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,3,1,1,1,3,3,5,5,4,5,5 AG,1 LW,4 EU,3 ET,13/12/2023 11:35:09,Si,00600,10,100 minutos,24 horas,Primer lugar,7,Julio,3m^3,Agnóstico. Considero que debe existir algo mas no es tangible ni expresable en nuestras palabras.,Me considero de izquierda mas mantengo (o intento mantener) una posición crítica.,Poco más de un millón de personas,850 pesos aprox.,30?,1.000.000,850,30,8.367.790,"880,62",155,7.367.790,31,125,563,272,362,9,2,3
598,601,1 UN,6 SA,38,2 MA,13,2 IW,1,1,1,1,2,1,1,1,3,4,4,4,3,2,3,2,2,3,2,4,5,3,1,1,1,3,1,0,0,0,0,1,3 incorrecta intuitiva,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1 incorrecta no intuitiva,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,-1,1,2,1,3,2,2,2,1,1,1,4,1,5,4,4,5,1 CA,2 CE,6 PG,5 PT,13/12/2023 11:24:57,Si,00601,10,10 minuts,24,2,8,Julio,3,Catolico,Democrata,7 millones,800,100,7.000.000,800,100,8.367.790,"880,62",155,1.367.790,81,55,420,476,125,9,2,2
599,602,1 UN,6 SA,18,1 FE,13,1 ST,3,1,1,2,3,2,1,1,4,2,4,4,4,4,3,1,2,4,3,3,3,2,1,2,3,3,1,0,0,0,0,0,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5,1,3,2,3,2,3,1,3,3,2,4,5,4,4,5,5 AG,1 LW,4 EU,4 EU,13/12/2023 11:41:00,Si,00602,5 pesos,5 minutos,47 horas,segundo lugar,8 ovejas,Emilio,27 metros cúbicos,Agnosticismo. Creo que no es posible afirmar por completo la existencia o no existencia de un Dios.,No he indagado demasiado en el tema para identificarme con un partido en específico pero me representa las ideas de Pedro Aguirre Cerda,8 millones,850 pesos,21,8.000.000,850,21,8.367.790,"880,62",155,367.790,31,134,316,272,435,7,2,3
600,603,1 UN,6 SA,23,2 MA,7,1 ST,4,3,4,4,4,4,3,2,4,4,3,4,3,2,2,2,2,3,3,3,3,2,2,2,3,2,4,0,0,0,1,0,1 incorrecta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,1,0,1,-1,3,1,3,3,4,3,3,2,2,2,3,2,5,4,2,5,5 AG,1 LW,4 EU,1 EB,13/12/2023 11:43:58,Si,00603,105 pesos,100 minutos,47 horas,segundo lugar,7,Emilio,3 metros cúbicos,Agnóstico,Izquierda,2 millones,980 pesos,120,2.000.000,980,120,8.367.790,"880,62",155,6.367.790,99,35,549,530,78,9,2,2
601,604,1 UN,6 SA,26,2 MA,13,1 ST,1,3,1,1,3,2,1,1,2,1,2,4,2,4,3,3,2,4,3,5,3,2,1,2,3,2,1,0,0,0,1,0,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,3,3,3,4,4,2,1,4,3,2,5,5,2,5,5 AG,1 LW,4 EU,4 EU,13/12/2023 11:54:47,Si,00604,10,5 minutos,47 horas,segundo,8,Emilio,27,agnostico,marxista,7 millones,más de 900,155,7.000.000,900,155,8.367.790,"880,62",155,1.367.790,19,0,420,149,1,9,2,1
602,605,1 UN,6 SA,19,3 NB,13,1 ST,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,5,5,5,5,2,1,1,1,1,1,0,0,0,0,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,2,1,2,2,4,1,4,3,2,2,3,1,5,5,5,5,5 AG,1 LW,4 EU,3 ET,13/12/2023 11:56:12,Si,00605,10,100 minutos,24,primer lugar,8 ovejas,Emilio,3 metros cubicos,"Agnóstico, creo que hay algo mayor, no se si un dios o simplemente las fuerzas del universo que hacen que las cosas sean como son","Ecosocialismo, o la verdad cualquiera que se acerque a esa indole donde el medioambiente es una prioridad",700000?,890,20?,700.000,890,20,8.367.790,"880,62",155,7.667.790,9,135,573,62,441,9,1,3
603,606,1 UN,6 SA,21,1 FE,13,1 ST,3,2,2,3,3,2,2,3,4,4,4,4,4,4,3,2,1,4,2,4,2,1,1,1,1,2,1,0,0,0,1,0,4 correcta no intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,1 incorrecta no intuitiva,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,-1,3,1,1,2,3,3,3,2,1,1,3,1,5,5,4,5,8 NR,1 LW,4 EU,6 PG,13/12/2023 12:29:18,Si,00606,5,100 min.,24 horas,segundo lugar,8 ovejas,Emilio,9,,"De izquierda, afín con el partido comunista",7 millones,900 pesos,.,7.000.000,900,NR,8.367.790,"880,62",155,1.367.790,19,NR,420,149,NR,9,2,NR
604,607,1 UN,6 SA,20,2 MA,13,1 ST,1,2,1,1,2,1,1,2,3,3,4,3,3,2,3,3,4,4,3,3,4,1,1,2,2,2,2,0,0,0,1,0,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,2,2,4,3,1,4,1,2,3,5,3,5,2,3,4,5 AG,1 LW,4 EU,4 EU,13/12/2023 12:13:06,Si,00607,5,5,47,segundo,8,emilio,27,agnostico,centro-izquierda,7 millones,850,72,7.000.000,850,72,8.367.790,"880,62",155,1.367.790,31,83,420,272,172,9,2,2
605,608,1 UN,6 SA,20,1 FE,13,1 ST,3,3,3,2,2,2,2,3,4,2,3,4,2,4,4,4,4,4,3,5,4,4,2,2,3,2,2,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,2 incorrecta no responde,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,3,4,5,4,4,4,3,4,4,4,4,4,3,4,4,4 NO,1 LW,4 EU,5 PT,13/12/2023 12:13:40,Si,00608,10 pesos,100 minutos ,24 horas,Segundo ,7,Emilio ,No lo sé,No tengo orientación religiosa,Centro izquierda,entre 7 y 10 millones ,varía de 700 a 1000,no lo sé,8.500.000,850,NR,8.367.790,"880,62",155,132.210,31,NR,180,272,NR,7,2,NR
606,609,1 UN,6 SA,21,1 FE,13,1 ST,2,3,2,4,2,3,3,3,4,4,4,4,4,4,4,3,4,5,4,3,4,2,2,3,4,2,2,0,0,0,1,0,3 incorrecta intuitiva,3 incorrecta intuitiva,3 incorrecta intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,4 correcta no intuitiva,3 incorrecta intuitiva,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,3,4,4,5,4,5,3,3,5,2,4,2,2,5,4 NO,1 LW,4 EU,4 EU,13/12/2023 12:13:50,Si,00609,10 pesos,100 minutos,24 horas ,en segundo lugar,8 ovejas,Emilio,27 metros cúbico,Ninguna religión religiosa me representa del todo,"centro izquierda. Creo que los extremos no son buenos, pero que la tendencia de la izquierda aporta mucho más a la sociedad que la derecha, en cuanto a la participación social, bienestar común, etc.",me atrevo a decir que 4 millones,850 pesos aproximadamente,no lo sé,4.000.000,850,NR,8.367.790,"880,62",155,4.367.790,31,NR,524,272,NR,9,2,NR
