tstidn,expidn,unique,expsit,agepar,gender,region,poccup,stbbu1,stbbu2,stbbu3,stbbu4,stbbu5,stbbu6,stbbu7,stbbu8,stbse1,stbse2,stbse3,stbse4,stbse5,stbse6,nssgv1,nssgv2,nssgv3,nssgv4,nssgv5,nssgv6,nssgv7,nsssc1,nsssc2,nsssc3,nsssc4,nsssc5,nsssc6,probl1,probl2,probl3,probl4,probl5,crtre1,crtre2,crtre3,crtre4,crtre5,crtre6,crtre7,crtco1,crtco2,crtco3,crtco4,crtco5,crtco6,crtco7,critie1,critie2,critie3,critie4,critie5,critie6,critie7,crtin1,crtin2,crtin3,crtin4,crtin5,crtin6,crtin7,critnr1,critnr2,critnr3,critnr4,critnr5,critnr6,critnr7,crtrr1,crtrr2,crtrr3,crtrr4,crtrr5,crtrr6,crtrr7,sapps1,sapps2,sapps3,sapps4,sapco1,sapco2,sapco3,sapco4,sappa1,sappa2,sappa3,sappa4,sapsc1,sapsc2,sapsc3,sapsc4,religr,politr,pedlev,fedlev,tstamp,accept,expidt,crtfr1,crtfr2,crtfr3,crtfr4,crtfr5,crtfr6,crtfr7,religo,polito,disto1,disto2,disto3,distn1,distn2,distn3,distc1,distc2,distc3,distd1,distd2,distd3,distr1,distr2,distr3,distl1,distl2,distl3
1,1,1 UN,1 PI,24,2 MA,15,1 ST,1,1,1,1,2,1,1,1,2,1,1,2,2,4,4,2,1,3,3,4,2,1,1,1,1,1,1,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 10:24:34,Si,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1 UN,1 PI,26,2 MA,15,5 HD,1,1,1,1,2,1,1,1,3,2,2,4,2,2,3,3,1,2,1,4,3,2,1,1,2,1,1,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 10:26:55,Si,002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,1 UN,1 PI,24,2 MA,15,1 ST,2,2,3,2,4,4,3,4,4,2,4,4,4,3,3,3,3,5,4,5,5,2,1,1,3,3,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:26:00,Si,003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,4,1 UN,1 PI,23,1 FE,15,1 ST,1,1,2,1,1,2,2,2,4,2,2,2,4,4,4,3,2,3,2,4,3,2,1,1,1,3,1,0,0,0,1,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:28:05,Si,004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,5,1 UN,1 PI,29,1 FE,15,1 ST,3,3,4,4,3,3,3,3,3,4,2,4,3,4,3,2,3,4,3,5,,2,5,5,1,1,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 11:33:16,Si,005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,7,2 DU,1 PI,27,2 MA,15,6 OT,2,2,1,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,3,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:01:10,Si,007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,7,2 DU,1 PI,26,2 MA,15,1 ST,1,1,1,1,2,1,1,2,2,2,2,4,4,3,3,4,5,5,5,4,5,3,1,1,1,1,1,0,1,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:08:29,Si,007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,8,1 UN,1 PI,25,2 MA,15,2 IW,1,1,1,1,4,4,4,4,4,1,4,4,4,4,5,5,3,5,1,5,5,5,1,1,1,5,1,0,0,0,0,1,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:06:19,Si,008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,9,1 UN,1 PI,22,2 MA,15,1 ST,2,1,1,4,3,3,1,4,3,4,4,4,4,4,2,3,4,4,5,5,3,3,2,3,3,4,4,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:08:10,Si,009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,10,1 UN,1 PI,18,2 MA,15,1 ST,1,2,2,2,3,2,2,2,3,3,3,4,4,3,3,3,4,5,4,,4,3,3,2,3,3,2,0,0,0,0,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:30:23,Si,0010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,1 UN,1 PI,31,1 FE,13,4 TC,4,3,2,3,3,3,2,3,4,1,3,4,3,3,4,4,4,4,5,5,4,2,1,1,1,2,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 12:35:51,Si,0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,12,1 UN,1 PI,20,1 FE,15,1 ST,2,3,4,2,3,4,4,2,2,2,4,4,4,2,3,3,3,4,4,5,5,1,2,1,1,2,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:25:11,Si,0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,13,1 UN,1 PI,20,1 FE,15,1 ST,1,1,2,1,1,2,3,4,2,1,1,4,3,4,3,3,3,2,3,,2,2,2,2,2,2,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:28:04,Si,0013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,1 UN,1 PI,20,1 FE,1,1 ST,3,3,3,4,3,3,4,3,4,4,3,3,3,4,4,4,4,4,5,4,4,3,1,3,3,3,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:31:29,Si,0014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,1 UN,1 PI,21,2 MA,15,1 ST,3,2,2,2,3,2,2,3,4,4,4,4,4,4,3,4,3,4,5,4,4,3,1,1,3,2,5,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:52:05,Si,0015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,17,2 DU,1 PI,23,2 MA,2,1 ST,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,3,5,5,4,4,5,3,1,2,3,3,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:50:55,Si,0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,17,2 DU,1 PI,24,1 FE,15,1 ST,4,2,4,2,4,3,4,4,4,4,4,4,4,4,2,4,1,3,3,3,3,1,1,1,1,1,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 13:56:01,Si,0017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,19,1 UN,1 PI,22,1 FE,15,1 ST,3,2,1,1,4,3,1,3,4,2,4,4,4,3,3,3,4,4,4,4,4,1,1,1,2,2,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 14:46:29,Si,0019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,20,1 UN,1 PI,28,2 MA,15,1 ST,3,4,3,4,4,4,4,3,4,3,4,4,4,2,3,4,5,4,4,5,5,5,2,1,1,2,4,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 14:54:48,Si,0020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,21,1 UN,1 PI,20,2 MA,15,1 ST,4,2,1,1,2,3,2,3,2,3,,1,1,3,3,3,4,3,4,3,4,3,2,4,3,4,3,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 15:15:09,Si,0021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,22,1 UN,1 PI,26,2 MA,15,1 ST,3,1,1,1,2,1,1,1,3,,3,4,3,1,3,1,4,5,1,3,3,1,1,1,1,1,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,28/08/2023 15:14:59,Si,0022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,23,1 UN,1 PI,25,1 FE,15,1 ST,1,1,1,1,2,1,1,1,3,2,1,3,4,2,3,4,2,5,3,5,3,1,1,1,1,3,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:31:42,Si,0023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,24,1 UN,1 PI,18,1 FE,15,1 ST,3,3,2,2,3,4,2,3,4,3,3,4,3,4,2,3,2,3,3,5,4,1,1,1,1,4,,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:25:34,Si,0024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,26,1 UN,1 PI,18,2 MA,15,1 ST,1,3,2,3,2,3,2,3,4,3,4,4,3,3,3,3,3,4,4,4,5,3,2,4,2,3,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:25:35,Si,0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,27,1 UN,1 PI,18,2 MA,15,1 ST,2,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,5,4,4,5,3,1,1,3,3,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:26:18,Si,0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,29,2 DU,1 PI,19,2 MA,15,1 ST,3,2,1,3,4,2,2,1,4,3,3,4,4,4,3,3,3,3,3,3,3,2,2,2,3,3,2,1,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:35:32,Si,0029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,29,2 DU,1 PI,18,1 FE,15,1 ST,4,2,2,2,2,2,4,3,4,4,2,4,4,4,4,3,4,4,3,4,4,2,2,2,2,2,2,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:47:30,Si,0029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,30,1 UN,1 PI,20,2 MA,15,1 ST,3,2,2,1,2,2,3,3,3,3,4,4,3,4,3,2,3,4,5,4,4,2,1,1,2,2,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 15:46:25,Si,0030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,31,1 UN,1 PI,29,1 FE,15,3 PC,2,3,2,3,3,2,2,3,4,3,3,4,4,3,3,3,4,4,5,5,4,3,2,2,2,2,3,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 16:23:56,Si,0031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,32,1 UN,1 PI,23,1 FE,15,1 ST,2,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,5,3,3,2,1,1,2,1,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 17:28:10,Si,0032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,33,1 UN,1 PI,22,1 FE,15,1 ST,1,1,2,2,2,1,1,3,2,4,3,4,4,3,3,2,2,2,3,2,2,2,1,1,1,1,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 17:40:15,Si,0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,34,1 UN,1 PI,18,2 MA,15,1 ST,3,2,2,3,2,1,1,4,4,3,1,3,4,3,3,3,1,3,2,3,4,1,1,2,1,2,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 17:40:34,Si,0034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,35,1 UN,1 PI,18,1 FE,15,1 ST,2,3,1,3,2,2,2,2,3,3,2,3,3,3,3,3,3,3,2,4,3,3,2,1,2,1,1,0,0,0,1,0,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9 instrumento no aplicado,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9 NA,9 NA,9 NA,9 NA,30/08/2023 17:45:09,Si,0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
